Order ID,Order Date,Product Name,Category,Sub-Category,Quantity,Unit Price,Sales,Profit,Region
O-100119,2024-07-15,File Box,Office Supplies,Storage,3,28.86,83.57,12.87,East
O-100120,2024-10-21,Storage Bin,Office Supplies,Storage,2,28.87,60.98,7.17,West
O-100121,2024-11-23,Ergo Chair,Furniture,Chairs,3,236.87,723.94,96.49,Central
O-100122,2024-04-26,Ring Binder,Office Supplies,Binders,3,14.37,45.79,7.03,West
O-100123,2024-02-10,Ring Binder,Office Supplies,Binders,2,31.19,67.07,8.31,West
O-100124,2024-03-24,Photo Paper,Office Supplies,Paper,5,34.14,155.5,26.02,East
O-100125,2024-06-04,Photo Paper,Office Supplies,Paper,3,14.65,40.01,3.57,West
O-100126,2024-10-25,Printer,Technology,Machines,5,447.29,2413.6,607.75,East
O-100127,2024-11-10,Executive Chair,Furniture,Chairs,3,255.87,844.3,144.02,East
O-100128,2024-01-03,Mouse,Technology,Accessories,1,296.8,311.87,53.66,East
O-100129,2024-07-05,Photo Paper,Office Supplies,Paper,2,19.2,38.26,4.06,South
O-100130,2024-06-01,File Box,Office Supplies,Storage,5,30.2,151.27,16.18,South
O-100131,2024-03-22,Copier,Technology,Machines,3,323.51,1029.44,187.57,East
O-100132,2024-02-13,Smartphone X,Technology,Phones,2,357.12,692.15,140.89,South
O-100133,2024-05-03,Printer,Technology,Machines,4,443.2,1833.45,391.5,West
O-100134,2024-12-10,Ring Binder,Office Supplies,Binders,4,34.17,133.52,9.68,South
O-100135,2024-04-27,Meeting Table,Furniture,Tables,2,233.96,462.09,70.93,Central
O-100136,2024-07-08,Smartphone X,Technology,Phones,1,213.37,205.21,44.78,East
O-100137,2024-09-13,Headphones,Technology,Accessories,3,507.98,1492.41,273.37,South
O-100138,2024-05-12,Metal Bookcase,Furniture,Bookcases,3,168.72,487.22,108.91,South
O-100139,2024-12-20,Scanner,Technology,Machines,4,400.22,1656.6,290.21,West
O-100140,2024-12-17,Wood Bookcase,Furniture,Bookcases,3,227.05,671.69,146.29,Central
O-100141,2024-04-01,Executive Chair,Furniture,Chairs,2,194.51,383.79,76.2,West
O-100142,2024-06-30,Corner Bookcase,Furniture,Bookcases,4,177.64,750.49,156.5,Central
O-100143,2024-04-19,Headphones,Technology,Accessories,2,427.2,925.27,158.36,West
O-100144,2024-04-13,Keyboard,Technology,Accessories,2,381.57,799.45,192.23,West
O-100145,2024-01-14,Storage Bin,Office Supplies,Storage,3,24.45,69.03,8.17,East
O-100146,2024-08-10,Study Table,Furniture,Tables,2,171.13,313.21,70.52,West
O-100147,2024-07-02,Corner Bookcase,Furniture,Bookcases,2,207.07,394.87,51.93,South
O-100148,2024-01-19,Meeting Table,Furniture,Tables,1,234.26,235.47,36.49,East
O-100149,2024-04-11,Metal Bookcase,Furniture,Bookcases,1,270.54,251.86,56.54,Central
O-100150,2024-11-27,Scanner,Technology,Machines,4,483.79,1899.61,325.86,Central
O-100151,2024-03-28,Wood Bookcase,Furniture,Bookcases,2,246.78,483.59,103.48,East
O-100152,2024-02-22,"2"" Binder",Office Supplies,Binders,2,29.86,54.85,7.94,South
O-100153,2024-06-27,File Box,Office Supplies,Storage,3,28.95,90.73,6.43,Central
O-100154,2024-12-25,A4 Paper,Office Supplies,Paper,2,24.25,49.99,7.59,East
O-100155,2024-03-29,Printer,Technology,Machines,1,452.0,408.23,72.55,South
O-100156,2024-09-02,Ring Binder,Office Supplies,Binders,2,39.57,77.12,7.97,South
O-100157,2024-10-04,Storage Bin,Office Supplies,Storage,5,39.81,210.47,23.1,West
O-100158,2024-03-27,Metal Bookcase,Furniture,Bookcases,3,184.26,520.3,109.25,West
O-100159,2024-09-22,Smartphone Y,Technology,Phones,5,517.58,2674.06,665.14,West
O-100160,2024-05-14,Storage Bin,Office Supplies,Storage,4,29.99,120.8,10.2,Central
O-100161,2024-08-18,Desk Organizer,Office Supplies,Storage,3,37.63,115.12,10.37,Central
O-100162,2024-08-19,Desk Organizer,Office Supplies,Storage,4,25.91,108.05,7.69,West
O-100163,2024-07-14,Smartphone X,Technology,Phones,5,327.86,1733.24,458.01,Central
O-100164,2024-02-02,Copier,Technology,Machines,3,391.67,1187.55,232.15,Central
O-100165,2024-10-31,Ergo Chair,Furniture,Chairs,5,231.19,1115.89,184.62,West
O-100166,2024-04-27,Smartphone X,Technology,Phones,5,362.02,1817.92,453.48,South
O-100167,2024-03-09,Desk Organizer,Office Supplies,Storage,1,36.2,32.68,3.25,West
O-100168,2024-01-15,Ring Binder,Office Supplies,Binders,5,35.85,179.79,15.49,East
O-100169,2024-08-03,Metal Bookcase,Furniture,Bookcases,3,236.74,673.51,111.42,East
O-100170,2024-09-04,Executive Chair,Furniture,Chairs,4,164.07,622.64,97.61,West
O-100171,2024-01-07,Printer,Technology,Machines,1,359.22,353.17,75.19,West
O-100172,2024-07-05,Desk Organizer,Office Supplies,Storage,1,26.29,26.54,3.38,East
O-100173,2024-03-23,Smartphone X,Technology,Phones,5,315.06,1524.01,280.85,Central
O-100174,2024-08-23,Executive Chair,Furniture,Chairs,1,243.7,265.7,55.17,Central
O-100175,2024-03-04,Printer,Technology,Machines,3,457.28,1388.49,323.3,Central
O-100176,2024-09-09,Executive Chair,Furniture,Chairs,4,242.04,961.39,209.02,East
O-100177,2024-05-21,Meeting Table,Furniture,Tables,5,232.83,1090.45,234.99,South
O-100178,2024-12-07,Letter Paper,Office Supplies,Paper,1,28.35,28.59,4.77,East
O-100179,2024-02-20,Letter Paper,Office Supplies,Paper,2,35.64,71.47,12.07,East
O-100180,2024-05-04,Mouse,Technology,Accessories,3,349.17,1020.81,180.55,West
O-100181,2024-02-11,Desk Organizer,Office Supplies,Storage,3,22.86,74.47,8.04,South
O-100182,2024-12-03,Smartphone Z,Technology,Phones,4,408.32,1609.13,361.74,West
O-100183,2024-11-16,"2"" Binder",Office Supplies,Binders,3,26.53,82.31,10.87,Central
O-100184,2024-04-04,Task Chair,Furniture,Chairs,4,156.03,593.94,113.17,West
O-100185,2024-08-28,Mouse,Technology,Accessories,5,371.85,1908.48,354.3,West
O-100186,2024-10-25,Headphones,Technology,Accessories,1,339.35,334.25,87.17,West
O-100187,2024-07-21,Executive Chair,Furniture,Chairs,2,172.5,319.72,55.75,West
O-100188,2024-07-12,Smartphone Y,Technology,Phones,1,407.86,418.98,84.82,East
O-100189,2024-03-29,Study Table,Furniture,Tables,5,197.89,1020.07,216.64,East
O-100190,2024-02-03,Copier,Technology,Machines,4,459.14,1708.22,327.51,West
O-100191,2024-11-23,Ergo Chair,Furniture,Chairs,3,232.65,743.22,143.44,South
O-100192,2024-11-24,Smartphone Y,Technology,Phones,3,538.13,1593.86,377.23,East
O-100193,2024-08-19,Smartphone Y,Technology,Phones,5,408.3,1864.81,334.72,South
O-100194,2024-05-03,Storage Bin,Office Supplies,Storage,5,23.9,108.09,11.46,Central
O-100195,2024-05-07,File Box,Office Supplies,Storage,3,28.54,77.33,5.55,South
O-100196,2024-09-21,Copier,Technology,Machines,3,259.89,762.61,134.93,Central
O-100197,2024-11-23,Keyboard,Technology,Accessories,5,277.79,1358.18,261.98,Central
O-100198,2024-11-19,Keyboard,Technology,Accessories,4,282.34,1241.31,332.81,Central
O-100199,2024-10-11,Mouse,Technology,Accessories,3,411.29,1344.72,340.59,West
O-100200,2024-08-22,Copier,Technology,Machines,5,358.45,1843.96,493.12,East
O-100201,2024-01-31,Photo Paper,Office Supplies,Paper,4,30.92,121.55,10.99,East
O-100202,2024-02-28,A4 Paper,Office Supplies,Paper,2,39.32,83.96,12.62,South
O-100203,2024-11-23,"3"" Binder",Office Supplies,Binders,5,35.12,163.44,20.8,East
O-100204,2024-08-09,Headphones,Technology,Accessories,4,362.74,1315.08,279.24,East
O-100205,2024-01-04,Desk Organizer,Office Supplies,Storage,3,29.09,82.23,12.85,South
O-100206,2024-02-07,Task Chair,Furniture,Chairs,1,210.13,230.02,40.6,South
O-100207,2024-08-30,Wood Bookcase,Furniture,Bookcases,4,232.81,990.28,213.16,South
O-100208,2024-01-02,Metal Bookcase,Furniture,Bookcases,2,152.25,302.97,41.06,South
O-100209,2024-02-28,Wood Bookcase,Furniture,Bookcases,4,187.95,822.93,169.47,South
O-100210,2024-07-19,Storage Bin,Office Supplies,Storage,5,27.08,128.81,13.59,Central
O-100211,2024-09-09,Executive Chair,Furniture,Chairs,4,185.92,691.16,113.53,South
O-100212,2024-08-25,Metal Bookcase,Furniture,Bookcases,2,221.33,453.04,65.96,West
O-100213,2024-03-22,Headphones,Technology,Accessories,4,467.97,1787.14,391.0,East
O-100214,2024-09-16,Desk Organizer,Office Supplies,Storage,1,24.02,23.37,2.08,West
O-100215,2024-03-27,Photo Paper,Office Supplies,Paper,2,35.9,69.13,8.56,South
O-100216,2024-04-28,Smartphone Y,Technology,Phones,3,196.52,607.96,137.37,Central
O-100217,2024-09-29,Photo Paper,Office Supplies,Paper,2,41.92,77.52,10.84,West
O-100218,2024-08-25,A4 Paper,Office Supplies,Paper,1,30.26,31.69,3.84,South
O-100219,2024-11-05,File Box,Office Supplies,Storage,5,38.07,196.5,16.53,Central
O-100220,2024-08-28,Folding Table,Furniture,Tables,4,97.04,419.46,79.86,Central
O-100221,2024-07-26,"2"" Binder",Office Supplies,Binders,3,28.47,92.91,14.81,West
O-100222,2024-02-04,Smartphone Z,Technology,Phones,5,441.6,2084.57,399.86,South
O-100223,2024-05-14,Meeting Table,Furniture,Tables,5,160.89,864.09,180.82,Central
O-100224,2024-04-06,Mouse,Technology,Accessories,1,342.84,341.89,89.6,East
O-100225,2024-03-30,Metal Bookcase,Furniture,Bookcases,3,189.53,578.82,75.62,Central
O-100226,2024-12-21,Scanner,Technology,Machines,2,550.99,1197.89,248.66,Central
O-100227,2024-05-23,File Box,Office Supplies,Storage,5,30.72,139.64,18.8,East
O-100228,2024-11-21,Ring Binder,Office Supplies,Binders,5,17.5,93.44,8.04,East
O-100229,2024-08-18,Photo Paper,Office Supplies,Paper,4,40.35,168.65,13.69,Central
O-100230,2024-10-17,Meeting Table,Furniture,Tables,3,182.0,573.38,81.73,Central
O-100231,2024-07-02,Ergo Chair,Furniture,Chairs,5,250.29,1335.31,297.42,West
O-100232,2024-07-29,Photo Paper,Office Supplies,Paper,1,26.31,25.22,2.6,West
O-100233,2024-06-28,Corner Bookcase,Furniture,Bookcases,1,134.35,138.47,20.66,West
O-100234,2024-03-12,Photo Paper,Office Supplies,Paper,4,24.66,94.33,15.69,East
O-100235,2024-09-20,Smartphone Z,Technology,Phones,4,476.42,2092.48,420.98,West
O-100236,2024-04-12,Wood Bookcase,Furniture,Bookcases,2,239.86,521.5,77.48,West
O-100237,2024-01-09,Printer,Technology,Machines,4,362.68,1384.84,282.7,West
O-100238,2024-08-23,Scanner,Technology,Machines,2,421.14,804.05,150.94,West
O-100239,2024-03-05,Wood Bookcase,Furniture,Bookcases,3,229.01,647.52,127.14,West
O-100240,2024-12-09,Desk Organizer,Office Supplies,Storage,4,25.17,96.63,7.8,West
O-100241,2024-12-14,Scanner,Technology,Machines,5,480.97,2371.16,600.13,East
O-100242,2024-11-29,Smartphone Y,Technology,Phones,5,247.02,1258.83,268.61,East
O-100243,2024-05-15,Executive Chair,Furniture,Chairs,1,197.25,179.31,27.22,East
O-100244,2024-01-06,Photo Paper,Office Supplies,Paper,3,38.36,125.27,9.81,East
O-100245,2024-12-04,Mouse,Technology,Accessories,5,236.07,1171.85,213.13,South
O-100246,2024-06-05,Task Chair,Furniture,Chairs,2,216.93,399.43,58.82,Central
O-100247,2024-12-18,Ergo Chair,Furniture,Chairs,4,283.23,1242.49,193.79,South
O-100248,2024-12-17,Desk Organizer,Office Supplies,Storage,4,30.14,113.77,19.22,Central
O-100249,2024-11-07,Study Table,Furniture,Tables,2,181.3,386.06,81.87,West
O-100250,2024-04-17,Ring Binder,Office Supplies,Binders,1,23.53,21.58,2.52,West
O-100251,2024-05-20,Keyboard,Technology,Accessories,5,349.07,1772.04,436.26,Central
O-100252,2024-11-06,Metal Bookcase,Furniture,Bookcases,5,207.62,1044.66,139.22,West
O-100253,2024-04-25,Ring Binder,Office Supplies,Binders,2,32.7,71.56,9.03,Central
O-100254,2024-03-02,Corner Bookcase,Furniture,Bookcases,3,241.27,684.94,135.71,South
O-100255,2024-07-22,Ergo Chair,Furniture,Chairs,1,253.83,274.1,62.01,West
O-100256,2024-12-07,Keyboard,Technology,Accessories,5,386.76,1810.72,336.22,South
O-100257,2024-09-11,Executive Chair,Furniture,Chairs,4,172.82,693.81,139.46,East
O-100258,2024-07-27,Storage Bin,Office Supplies,Storage,1,35.36,32.18,3.75,West
O-100259,2024-02-05,Desk Organizer,Office Supplies,Storage,2,27.02,52.04,3.87,Central
O-100260,2024-08-12,Ring Binder,Office Supplies,Binders,5,31.53,157.67,17.88,East
O-100261,2024-12-27,A4 Paper,Office Supplies,Paper,2,27.77,56.35,5.78,East
O-100262,2024-02-21,Corner Bookcase,Furniture,Bookcases,1,157.38,149.0,22.51,South
O-100263,2024-07-08,Scanner,Technology,Machines,1,495.45,485.56,120.58,East
O-100264,2024-11-16,Printer,Technology,Machines,4,385.74,1521.66,305.02,East
O-100265,2024-09-27,Task Chair,Furniture,Chairs,5,145.43,699.11,129.09,West
O-100266,2024-09-11,Task Chair,Furniture,Chairs,1,226.16,234.77,38.52,South
O-100267,2024-09-13,Metal Bookcase,Furniture,Bookcases,2,234.68,444.37,58.82,South
O-100268,2024-05-11,Printer,Technology,Machines,2,388.85,707.8,123.11,Central
O-100269,2024-04-17,Photo Paper,Office Supplies,Paper,2,34.44,75.03,11.12,West
O-100270,2024-10-22,Meeting Table,Furniture,Tables,4,201.65,770.34,154.8,East
O-100271,2024-10-22,Copier,Technology,Machines,4,435.44,1716.02,434.56,South
O-100272,2024-11-12,Ergo Chair,Furniture,Chairs,2,195.57,378.42,82.14,East
O-100273,2024-11-29,Folding Table,Furniture,Tables,5,164.13,881.48,181.5,Central
O-100274,2024-07-05,Desk Organizer,Office Supplies,Storage,4,31.51,133.74,19.53,East
O-100275,2024-07-02,Folding Table,Furniture,Tables,4,152.56,598.98,85.39,East
O-100276,2024-10-18,Mouse,Technology,Accessories,3,324.34,1000.56,196.09,South
O-100277,2024-08-25,Smartphone Z,Technology,Phones,3,448.66,1322.1,256.56,Central
O-100278,2024-09-13,Smartphone Y,Technology,Phones,2,410.28,826.33,147.25,East
O-100279,2024-10-17,Smartphone Y,Technology,Phones,1,370.1,344.65,92.66,South
O-100280,2024-11-20,Printer,Technology,Machines,5,367.23,1824.28,423.12,West
O-100281,2024-05-03,Letter Paper,Office Supplies,Paper,5,34.27,168.94,16.54,East
O-100282,2024-05-17,Metal Bookcase,Furniture,Bookcases,2,192.16,383.72,57.37,Central
O-100283,2024-02-04,Scanner,Technology,Machines,2,266.99,573.02,103.31,East
O-100284,2024-07-30,Copier,Technology,Machines,5,454.69,2193.34,517.88,Central
O-100285,2024-01-14,Meeting Table,Furniture,Tables,1,197.78,211.6,28.46,Central
O-100286,2024-06-18,"2"" Binder",Office Supplies,Binders,2,24.0,43.47,5.75,South
O-100287,2024-07-17,Scanner,Technology,Machines,1,381.02,394.19,95.56,West
O-100288,2024-04-14,Letter Paper,Office Supplies,Paper,2,39.73,79.46,6.11,East
O-100289,2024-08-03,"3"" Binder",Office Supplies,Binders,2,41.71,81.86,6.9,Central
O-100290,2024-01-12,Folding Table,Furniture,Tables,5,204.45,1058.31,209.51,South
O-100291,2024-01-14,Task Chair,Furniture,Chairs,3,206.1,670.77,109.06,East
O-100292,2024-10-27,"3"" Binder",Office Supplies,Binders,4,36.99,149.63,15.6,East
O-100293,2024-05-11,Executive Chair,Furniture,Chairs,4,150.18,618.72,86.83,West
O-100294,2024-02-16,Scanner,Technology,Machines,3,296.2,802.03,179.68,South
O-100295,2024-07-09,Printer,Technology,Machines,1,339.37,342.97,86.16,West
O-100296,2024-10-08,Photo Paper,Office Supplies,Paper,1,27.38,25.4,1.98,South
O-100297,2024-03-19,Printer,Technology,Machines,2,207.37,378.72,98.14,West
O-100298,2024-08-15,Photo Paper,Office Supplies,Paper,1,40.06,41.52,4.22,East
O-100299,2024-02-01,File Box,Office Supplies,Storage,3,24.33,67.44,8.58,East
O-100300,2024-01-19,Scanner,Technology,Machines,3,459.6,1292.39,223.03,West
O-100301,2024-07-12,A4 Paper,Office Supplies,Paper,3,38.64,108.88,8.99,South
O-100302,2024-07-16,Folding Table,Furniture,Tables,3,236.86,732.17,156.13,South
O-100303,2024-08-20,Desk Organizer,Office Supplies,Storage,3,25.48,78.55,11.94,East
O-100304,2024-09-22,"3"" Binder",Office Supplies,Binders,4,35.48,153.21,23.13,Central
O-100305,2024-12-22,Copier,Technology,Machines,5,276.34,1518.92,364.61,Central
O-100306,2024-07-07,File Box,Office Supplies,Storage,5,23.84,123.39,13.52,Central
O-100307,2024-04-27,Desk Organizer,Office Supplies,Storage,1,37.38,35.52,2.91,Central
O-100308,2024-10-17,Mouse,Technology,Accessories,5,406.29,1894.09,446.65,South
O-100309,2024-04-08,"2"" Binder",Office Supplies,Binders,5,17.23,79.52,12.59,West
